N ijk ikj jik jki kij kji
10 24373.000000 18538.000000 18423.000000 24290.000000 24324.000000 24345.000000
20 193320.000000 141572.000000 141191.000000 202751.000000 201698.000000 198109.000000
30 638333.000000 462064.000000 460973.000000 646326.000000 638620.000000 655060.000000
40 1505295.000000 1075727.000000 1074452.000000 1561777.000000 1506720.000000 1557479.000000
50 2925915.000000 2080922.000000 2075177.000000 3032460.000000 2922718.000000 3051679.000000
60 5046819.000000 3570513.000000 3564583.000000 5245498.000000 5171691.000000 5230108.000000
70 8034147.000000 5637433.000000 5634858.000000 8320855.000000 8312087.000000 8335450.000000
80 12336848.000000 8386916.000000 8374900.000000 12270401.000000 11998156.000000 12350024.000000
90 16972716.000000 11910214.000000 11889784.000000 17624291.000000 17428701.000000 17679779.000000
100 23268453.000000 16312225.000000 16284993.000000 24215519.000000 23227216.000000 24225061.000000
200 191772603.000000 128968618.000000 128723789.000000 192290427.000000 190273668.000000 191182547.000000
300 642004327.000000 434021742.000000 433484179.000000 649206158.000000 634583963.000000 649981268.000000
400 1519386564.000000 1027948864.000000 1028089472.000000 1515886942.000000 1519453185.000000 1534546474.000000
500 2949911945.000000 2009401978.000000 2011537466.000000 2956340808.000000 2907114030.000000 2999282570.000000
700 8064543447.000000 5523686740.000000 5522139893.000000 7913815371.000000 8023544075.000000 7921516922.000000
800 12043357895.000000 8266921724.000000 8241128572.000000 11864861993.000000 11893919144.000000 11793624116.000000
900 17130917729.000000 11726802636.000000 11728298567.000000 16806918702.000000 17094238870.000000 16829409277.000000
1000 23539336144.000000 16080830683.000000 16079849736.000000 23266970304.000000 23343114423.000000 23031570283.000000
