N ijk ikj jik jki kij kji
10 38.000000 27.000000 26.000000 26.000000 28.000000 25.000000
20 53.000000 94.000000 77.000000 100.000000 76.000000 78.000000
30 62.000000 324.000000 918.000000 1444.000000 361.000000 890.000000
40 873.000000 1748.000000 3834.000000 2643.000000 2414.000000 3330.000000
50 2300.000000 16172.000000 6135.000000 18737.000000 4288.000000 17199.000000
60 3213.000000 30343.000000 13396.000000 40591.000000 5735.000000 36597.000000
70 4673.000000 48768.000000 19129.000000 81909.000000 9747.000000 75752.000000
80 6866.000000 76993.000000 41192.000000 455927.000000 14324.000000 439462.000000
90 8218.000000 97838.000000 23687.000000 146768.000000 15154.000000 139029.000000
100 11547.000000 140105.000000 38013.000000 239337.000000 22057.000000 207452.000000
200 78868.000000 1821940.000000 1194810.000000 15915450.000000 104174.000000 15885410.000000
300 223584.000000 22328557.000000 20586666.000000 54002051.000000 286281.000000 53895982.000000
400 406305.000000 66472154.000000 65032380.000000 128037147.000000 617433.000000 127909798.000000
500 610798.000000 127480008.000000 126969282.000000 249938492.000000 972436.000000 249833925.000000
700 2984075.000000 349150897.000000 348340577.000000 686166868.000000 3547683.000000 685725766.000000
800 4571249.000000 524982180.000000 518821192.000000 1024873842.000000 5857417.000000 1024280607.000000
900 6328318.000000 741577182.000000 739825458.000000 1458731161.000000 8429347.000000 1457839092.000000
1000 8282100.000000 1016515682.000000 1015838777.000000 2000569669.000000 12018397.000000 1999721484.000000
