N ijk ikj jik jki kij kji
10 0.001559 0.001456 0.001411 0.001070 0.001151 0.001027
20 0.000274 0.000664 0.000545 0.000493 0.000377 0.000394
30 0.000097 0.000701 0.001991 0.002234 0.000565 0.001359
40 0.000580 0.001625 0.003568 0.001692 0.001602 0.002138
50 0.000786 0.007772 0.002956 0.006179 0.001467 0.005636
60 0.000637 0.008498 0.003758 0.007738 0.001109 0.006997
70 0.000582 0.008651 0.003395 0.009844 0.001173 0.009088
80 0.000557 0.009180 0.004919 0.037157 0.001194 0.035584
90 0.000484 0.008215 0.001992 0.008328 0.000869 0.007864
100 0.000496 0.008589 0.002334 0.009884 0.000950 0.008564
200 0.000411 0.014127 0.009282 0.082768 0.000547 0.083090
300 0.000348 0.051446 0.047491 0.083182 0.000451 0.082919
400 0.000267 0.064665 0.063256 0.084464 0.000406 0.083353
500 0.000207 0.063442 0.063121 0.084543 0.000335 0.083298
700 0.000370 0.063210 0.063081 0.086705 0.000442 0.086565
800 0.000380 0.063504 0.062955 0.086379 0.000492 0.086850
900 0.000369 0.063238 0.063080 0.086793 0.000493 0.086624
1000 0.000352 0.063213 0.063175 0.085983 0.000515 0.086825
