N ijk ikj jik jki kij kji
10 0.087381 0.118149 0.116508 0.099864 0.099864 0.099864
20 0.145572 0.207767 0.207767 0.105351 0.124046 0.132104
30 0.164125 0.234707 0.226946 0.142091 0.165686 0.121639
40 0.167720 0.240211 0.235263 0.108196 0.168880 0.113575
50 0.168365 0.235159 0.219321 0.097778 0.164354 0.103778
60 0.171083 0.242692 0.230644 0.096323 0.141183 0.107514
70 0.163613 0.228902 0.216745 0.098436 0.130644 0.095852
80 0.135612 0.231622 0.229236 0.105983 0.150168 0.097849
90 0.165381 0.225175 0.240798 0.092753 0.134615 0.091399
100 0.161487 0.235681 0.245403 0.088405 0.160373 0.089863
200 0.132005 0.206962 0.210593 0.072310 0.134512 0.077074
300 0.137471 0.183549 0.188812 0.068081 0.144809 0.067191
400 0.138751 0.177876 0.181197 0.077351 0.134359 0.067059
500 0.143784 0.164520 0.175076 0.075304 0.157447 0.062672
700 0.146612 0.161959 0.173856 0.054587 0.151014 0.056698
800 0.145781 0.163835 0.172258 0.053549 0.158496 0.055639
900 0.146680 0.154118 0.167093 0.054108 0.148388 0.056190
1000 0.144652 0.136787 0.159656 0.045526 0.152330 0.051881
